iso3,year,undernourishment,vulnerability,ln_gdp_pcap
BGR,2019,3.1,0.334079817248937,9.246942701895517
BFA,2019,14.5,0.51822331957572,6.6396837601854255
CPV,2019,14.8,0.418785405625635,8.384982337539077
KHM,2019,5.6,0.481777382470174,7.707906298889181
CMR,2019,6.2,0.484616507811948,7.3493765405330835
CAN,2019,2.5,0.283846146718464,10.744038475108562
CAF,2019,24.4,0.579038747119261,6.107531594859889
TCD,2019,28.1,0.64958235224246,6.794963264282223
CHL,2019,3.0,0.332626090125988,9.581608486265589
CHN,2019,2.5,0.3839722303205,9.244055665042044
COL,2019,4.2,0.406086197469698,8.77532473350093
COM,2019,13.2,0.533642172827941,7.325981196043221
CRI,2019,2.5,0.38113506063617,9.46379475299477
HRV,2019,2.5,0.375299374311101,9.652704059409055
CYP,2019,2.5,0.355346793614322,10.299005105177898
CZE,2019,2.5,0.261474647531148,10.088418992342875
DNK,2019,2.5,0.34787146155068,10.992121326420907
DJI,2019,12.2,0.486542535983138,7.950562011253851
DMA,2019,5.5,0.43156686511295,9.158115060197826
DOM,2019,5.6,0.427045463588311,9.009816094639277
ECU,2019,11.3,0.449121500585503,8.733119988887672
SLV,2019,6.8,0.422757952425856,8.371037698314458
EST,2019,2.5,0.334983345561968,10.086694140130202
SWZ,2019,13.4,0.458208825453945,8.272091934413389
ETH,2019,16.1,0.530498131316866,6.719869165346455
FJI,2019,6.4,0.451498407858179,8.691285760887101
FIN,2019,2.5,0.284531791581487,10.78639068568719
FRA,2019,2.5,0.30329510576886,10.606790113654695
GAB,2019,17.5,0.435159642298578,8.914784535606321
GEO,2019,5.4,0.417783692486899,8.464063110450166
